学生番号【ダミー】,年度,Q01_所属学部,Q01_所属学部_ラベル,Q02_学年,Q03_履修科目数,Q04_授業時間外学習時間,Q04_授業時間外学習時間_ラベル,Q05_授業の理解度,Q05_授業の理解度_ラベル,Q06_授業の満足度,Q06_授業の満足度_ラベル,Q07_課題が多い,Q07_課題が多い_ラベル,Q08_あなたの学生生活は充実していますか,Q08_あなたの学生生活は充実していますか_ラベル,Q09_教員とのコミュニケーション,Q09_教員とのコミュニケーション_ラベル,Q10_他の学生とのコミュニケーション,Q10_他の学生とのコミュニケーション_ラベル,Q11_図書館の設備,Q11_図書館の設備_ラベル,Q12_学内のICT環境について,Q12_学内のICT環境について_ラベル,GPA,TOEIC
"18A109",2020.000,3,"保健学部","3年生",9,4,"3-5 時間",5,"大変よく理解できた",5,"とても満足",3,"どちらでもない",4,"充実している",3,"いくらかうまくいった",3,"いくらかうまくいった",5,"とても満足",4,"満足",3.240,321.000
"18A110",2020.000,3,"保健学部","3年生",6,3,"1-2 時間",4,"よく理解できた",5,"とても満足",1,"まったくそう思わない",4,"充実している",3,"いくらかうまくいった",4,"とてもうまくいった",3,"どちらでもない",4,"満足",3.140,708.000
"18A111",2020.000,2,"商学部","3年生",5,6,"11-15 時間",4,"よく理解できた",2,"不満",2,"あまりそう思わない",4,"充実している",3,"いくらかうまくいった",2,"あまりうまくいかなかった",4,"満足",3,"どちらでもない",2.430,316.000
"18A112",2020.000,2,"商学部","3年生",8,5,"6-10 時間",3,"どちらでもない",2,"不満",1,"まったくそう思わない",1,"充実していない",1,"まったくうまくいかなかった",1,"まったくうまくいかなかった",5,"とても満足",5,"とても満足",1.280,187.000
"18A113",2020.000,2,"商学部","3年生",10,6,"11-15 時間",3,"どちらでもない",3,"どちらでもない",4,"ややそう思う",3,"まあまあ充実している",3,"いくらかうまくいった",4,"とてもうまくいった",2,"不満",2,"不満",3.130,578.000
"18A114",2020.000,1,"文学部","3年生",7,5,"6-10 時間",4,"よく理解できた",4,"満足",4,"ややそう思う",3,"まあまあ充実している",4,"とてもうまくいった",3,"いくらかうまくいった",3,"どちらでもない",3,"どちらでもない",2.640,561.000
"18A115",2020.000,2,"商学部","3年生",6,5,"6-10 時間",4,"よく理解できた",4,"満足",3,"どちらでもない",3,"まあまあ充実している",3,"いくらかうまくいった",3,"いくらかうまくいった",5,"とても満足",5,"とても満足",2.840,586.000
"18A116",2020.000,1,"文学部","3年生",8,3,"1-2 時間",4,"よく理解できた",3,"どちらでもない",4,"ややそう思う",4,"充実している",3,"いくらかうまくいった",4,"とてもうまくいった",4,"満足",1,"とても不満",1.990,530.000
"18A117",2020.000,1,"文学部","3年生",8,2,"1 時間未満",4,"よく理解できた",5,"とても満足",4,"ややそう思う",3,"まあまあ充実している",4,"とてもうまくいった",4,"とてもうまくいった",5,"とても満足",4,"満足",3.450,333.000
"18A118",2020.000,2,"商学部","3年生",5,7,"16-20 時間",4,"よく理解できた",5,"とても満足",1,"まったくそう思わない",3,"まあまあ充実している",1,"まったくうまくいかなかった",3,"いくらかうまくいった",4,"満足",2,"不満",2.280,730.000
"18A119",2020.000,1,"文学部","3年生",4,6,"11-15 時間",1,"まったく理解できなかった",3,"どちらでもない",2,"あまりそう思わない",3,"まあまあ充実している",3,"いくらかうまくいった",2,"あまりうまくいかなかった",4,"満足",3,"どちらでもない",3.080,550.000
"18A120",2020.000,1,"文学部","3年生",9,4,"3-5 時間",4,"よく理解できた",4,"満足",2,"あまりそう思わない",4,"充実している",3,"いくらかうまくいった",4,"とてもうまくいった",5,"とても満足",4,"満足",2.620,649.000
"18A121",2020.000,2,"商学部","3年生",12,2,"1 時間未満",5,"大変よく理解できた",3,"どちらでもない",5,"とてもそう思う",3,"まあまあ充実している",3,"いくらかうまくいった",3,"いくらかうまくいった",3,"どちらでもない",5,"とても満足",2.410,805.000
"18A122",2020.000,3,"保健学部","3年生",11,5,"6-10 時間",4,"よく理解できた",4,"満足",5,"とてもそう思う",3,"まあまあ充実している",1,"まったくうまくいかなかった",3,"いくらかうまくいった",2,"不満",3,"どちらでもない",1.920,411.000
"18A123",2020.000,2,"商学部","3年生",7,3,"1-2 時間",4,"よく理解できた",5,"とても満足",3,"どちらでもない",1,"充実していない",4,"とてもうまくいった",1,"まったくうまくいかなかった",3,"どちらでもない",4,"満足",1.800,586.000
"18A124",2020.000,2,"商学部","3年生",6,2,"1 時間未満",5,"大変よく理解できた",2,"不満",3,"どちらでもない",3,"まあまあ充実している",3,"いくらかうまくいった",4,"とてもうまくいった",3,"どちらでもない",5,"とても満足",2.120,527.000
"18A125",2020.000,2,"商学部","3年生",3,1,"全然ない",3,"どちらでもない",5,"とても満足",1,"まったくそう思わない",3,"まあまあ充実している",1,"まったくうまくいかなかった",1,"まったくうまくいかなかった",3,"どちらでもない",3,"どちらでもない",2.670,646.000
"18A126",2020.000,1,"文学部","3年生",10,7,"16-20 時間",4,"よく理解できた",5,"とても満足",5,"とてもそう思う",4,"充実している",2,"あまりうまくいかなかった",1,"まったくうまくいかなかった",2,"不満",4,"満足",3.580,501.000
"18A127",2020.000,3,"保健学部","3年生",10,5,"6-10 時間",4,"よく理解できた",2,"不満",3,"どちらでもない",3,"まあまあ充実している",3,"いくらかうまくいった",1,"まったくうまくいかなかった",2,"不満",4,"満足",2.060,667.000
"18A128",2020.000,3,"保健学部","3年生",9,4,"3-5 時間",3,"どちらでもない",2,"不満",5,"とてもそう思う",3,"まあまあ充実している",3,"いくらかうまくいった",2,"あまりうまくいかなかった",3,"どちらでもない",1,"とても不満",2.720,594.000
"18A129",2020.000,3,"保健学部","3年生",8,3,"1-2 時間",4,"よく理解できた",5,"とても満足",2,"あまりそう思わない",2,"あまり充実していない",4,"とてもうまくいった",1,"まったくうまくいかなかった",4,"満足",2,"不満",2.550,333.000
"18A130",2020.000,1,"文学部","3年生",6,3,"1-2 時間",5,"大変よく理解できた",4,"満足",2,"あまりそう思わない",3,"まあまあ充実している",3,"いくらかうまくいった",4,"とてもうまくいった",1,"とても不満",4,"満足",2.510,381.000
"18A131",2020.000,3,"保健学部","3年生",5,5,"6-10 時間",5,"大変よく理解できた",5,"とても満足",3,"どちらでもない",4,"充実している",4,"とてもうまくいった",3,"いくらかうまくいった",2,"不満",4,"満足",2.460,610.000
"18A132",2020.000,3,"保健学部","3年生",3,3,"1-2 時間",4,"よく理解できた",3,"どちらでもない",3,"どちらでもない",1,"充実していない",2,"あまりうまくいかなかった",1,"まったくうまくいかなかった",4,"満足",1,"とても不満",2.380,309.000
"18A133",2020.000,1,"文学部","3年生",3,7,"16-20 時間",1,"まったく理解できなかった",2,"不満",2,"あまりそう思わない",2,"あまり充実していない",2,"あまりうまくいかなかった",2,"あまりうまくいかなかった",5,"とても満足",2,"不満",2.940,654.000
"18A134",2020.000,2,"商学部","3年生",2,6,"11-15 時間",4,"よく理解できた",3,"どちらでもない",2,"あまりそう思わない",3,"まあまあ充実している",3,"いくらかうまくいった",3,"いくらかうまくいった",4,"満足",3,"どちらでもない",2.580,328.000
"18A135",2020.000,2,"商学部","3年生",10,2,"1 時間未満",5,"大変よく理解できた",4,"満足",2,"あまりそう思わない",2,"あまり充実していない",4,"とてもうまくいった",4,"とてもうまくいった",4,"満足",4,"満足",2.660,567.000
"18A136",2020.000,1,"文学部","3年生",6,2,"1 時間未満",4,"よく理解できた",4,"満足",4,"ややそう思う",3,"まあまあ充実している",3,"いくらかうまくいった",3,"いくらかうまくいった",3,"どちらでもない",5,"とても満足",2.860,629.000
"18A137",2020.000,2,"商学部","3年生",5,6,"11-15 時間",4,"よく理解できた",5,"とても満足",1,"まったくそう思わない",4,"充実している",3,"いくらかうまくいった",3,"いくらかうまくいった",5,"とても満足",2,"不満",2.070,600.000
"18A138",2020.000,1,"文学部","3年生",2,1,"全然ない",3,"どちらでもない",2,"不満",1,"まったくそう思わない",4,"充実している",3,"いくらかうまくいった",3,"いくらかうまくいった",4,"満足",3,"どちらでもない",1.170,295.000
"18A139",2020.000,1,"文学部","3年生",9,7,"16-20 時間",4,"よく理解できた",5,"とても満足",4,"ややそう思う",4,"充実している",2,"あまりうまくいかなかった",1,"まったくうまくいかなかった",3,"どちらでもない",4,"満足",2.660,468.000
"18A140",2020.000,3,"保健学部","3年生",8,4,"3-5 時間",5,"大変よく理解できた",4,"満足",3,"どちらでもない",3,"まあまあ充実している",4,"とてもうまくいった",3,"いくらかうまくいった",4,"満足",5,"とても満足",1.430,314.000
"18A141",2020.000,1,"文学部","3年生",10,6,"11-15 時間",3,"どちらでもない",5,"とても満足",3,"どちらでもない",3,"まあまあ充実している",3,"いくらかうまくいった",2,"あまりうまくいかなかった",5,"とても満足",3,"どちらでもない",1.770,808.000
"18A142",2020.000,3,"保健学部","3年生",6,7,"16-20 時間",3,"どちらでもない",1,"とても不満",4,"ややそう思う",3,"まあまあ充実している",2,"あまりうまくいかなかった",2,"あまりうまくいかなかった",3,"どちらでもない",4,"満足",2.840,596.000
"18A143",2020.000,2,"商学部","3年生",9,8,"20 時間以上",4,"よく理解できた",3,"どちらでもない",3,"どちらでもない",3,"まあまあ充実している",3,"いくらかうまくいった",4,"とてもうまくいった",4,"満足",5,"とても満足",2.840,523.000
"18A144",2020.000,2,"商学部","3年生",8,3,"1-2 時間",2,"あまり理解できなかった",2,"不満",3,"どちらでもない",4,"充実している",4,"とてもうまくいった",4,"とてもうまくいった",5,"とても満足",4,"満足",1.990,298.000
"18A145",2020.000,1,"文学部","3年生",8,3,"1-2 時間",3,"どちらでもない",3,"どちらでもない",4,"ややそう思う",4,"充実している",3,"いくらかうまくいった",3,"いくらかうまくいった",2,"不満",2,"不満",2.200,532.000
"18A146",2020.000,3,"保健学部","3年生",7,5,"6-10 時間",5,"大変よく理解できた",4,"満足",2,"あまりそう思わない",3,"まあまあ充実している",3,"いくらかうまくいった",3,"いくらかうまくいった",5,"とても満足",3,"どちらでもない",1.340,567.000
"18A147",2020.000,2,"商学部","3年生",8,8,"20 時間以上",5,"大変よく理解できた",5,"とても満足",5,"とてもそう思う",4,"充実している",3,"いくらかうまくいった",1,"まったくうまくいかなかった",4,"満足",4,"満足",3.200,818.000
"18A148",2020.000,3,"保健学部","3年生",7,5,"6-10 時間",5,"大変よく理解できた",5,"とても満足",3,"どちらでもない",2,"あまり充実していない",2,"あまりうまくいかなかった",1,"まったくうまくいかなかった",1,"とても不満",4,"満足",2.500,739.000
"18A149",2020.000,1,"文学部","3年生",5,4,"3-5 時間",3,"どちらでもない",2,"不満",4,"ややそう思う",1,"充実していない",2,"あまりうまくいかなかった",2,"あまりうまくいかなかった",2,"不満",1,"とても不満",1.630,564.000
"18A150",2020.000,1,"文学部","3年生",4,3,"1-2 時間",1,"まったく理解できなかった",1,"とても不満",1,"まったくそう思わない",3,"まあまあ充実している",4,"とてもうまくいった",3,"いくらかうまくいった",3,"どちらでもない",2,"不満",2.730,453.000
"18A151",2020.000,3,"保健学部","3年生",5,4,"3-5 時間",2,"あまり理解できなかった",4,"満足",1,"まったくそう思わない",3,"まあまあ充実している",3,"いくらかうまくいった",4,"とてもうまくいった",4,"満足",4,"満足",1.500,482.000
"18A152",2020.000,1,"文学部","3年生",7,3,"1-2 時間",4,"よく理解できた",4,"満足",1,"まったくそう思わない",3,"まあまあ充実している",4,"とてもうまくいった",3,"いくらかうまくいった",5,"とても満足",4,"満足",1.900,317.000
"18A153",2020.000,1,"文学部","3年生",12,6,"11-15 時間",3,"どちらでもない",5,"とても満足",3,"どちらでもない",4,"充実している",3,"いくらかうまくいった",4,"とてもうまくいった",4,"満足",5,"とても満足",3.700,493.000
"18A154",2020.000,3,"保健学部","3年生",3,4,"3-5 時間",5,"大変よく理解できた",5,"とても満足",3,"どちらでもない",3,"まあまあ充実している",3,"いくらかうまくいった",3,"いくらかうまくいった",2,"不満",3,"どちらでもない",3.220,733.000
